CURSO,CURRICULO,COD_DISCIPLINA,NOME,SITUACAO_CURRICULO,TIPO,CH,ESTAGIO_CONCLUINTE,PERIODO_IDEAL
11104100,1978,1105174,SDI (HISTÓRIA DO D. INDUSTRIAL),I,Normais,30,
11104100,1978,1105217,SDI (IMAGEM E TEXTO),I,Normais,60,
11104100,1978,1105277,SDI (LAY-OUT DA PRODUCAO),I,Normais,30,
11104100,1978,1105230,SDI (MODELOS TRIDIMENSIONAIS),I,Normais,90,
11104100,1978,1105259,SDI (PROJETO I),I,Normais,120,
11104100,1978,1105265,SDI (PROJETO II),I,Normais,90,
11104100,1978,1105281,SDI (PROJETO III),I,Normais,60,
11104100,1978,1105283,SDI (QUALIDADE TOTAL),I,Normais,45,
11104100,1978,1105264,SDI (SISTEMAS FUNCIONAIS),I,Normais,30,
11104100,1978,1105242,SDI (TEC. DE ACABAMENTO),I,Normais,60,
11104100,1978,1105270,SDI (TEORIA DA COMUNICACAO),I,Normais,60,
11104100,1978,1105279,SDI(ECOLOGIA APLIC. AO DESIGN),I,Normais,30,
11104100,1978,1112128,SDI(EST.SUP.III - DESIGN ENTORNO),I,Normais,50,
11104100,1978,1105282,SDI(HIST. DESIGN E TECNOL. II),I,Normais,30,
11104100,1978,1112127,SDI(HISTÓRIA DO DESIGN),I,Normais,60,
11104100,1978,1105278,SDI(MARKETING APLICADO AO DI),I,Normais,60,
11104100,1978,1105248,SDI(METODOS TEC DE EST E PESQ),I,Normais,60,
11104100,1978,1105280,SDI(NOCOES DE SOCIOL E ANTROP),I,Normais,60,
11104100,1978,1105251,SDI(PROJ ALTERN DESV ARMORIAL),I,Normais,60,
11104100,1978,1105267,SDI(TEC.DE APRES. DE PROJETO),I,Normais,60,
11104100,1978,1105216,SEM. MET. DES. PROJ.DES INDUST,I,Normais,60,
11104100,1978,1105127,SIST. CAD/CAE/CAM-APLIC. P.MEC,I,Normais,60,
11104100,1978,1112077,SISTEMAS FUNCIONAIS (SDI),I,Normais,30,
11104100,1978,1305034,SOCIOLOGIA DO CONSUMO,I,Normais,60,
11104100,1978,1305190,SOCIOLOGIA DO CONSUMO,I,Normais,45,
11104100,1978,1411166,TE (EMPREENDEDORISMO),I,Normais,60,
11104100,1978,1112122,TEC DE ILUSTRACAO - RENDERING (SDI),I,Normais,30,
11104100,1978,1411142,TECC (EMPREEND. DE INFORMÁTICA),I,Normais,60,
11104100,1978,1112078,TÉCNICAS DE APRESENTAÇÃO DE PROJETO,I,Normais,60,
11104100,1978,1112079,TÉCNICAS DE ILUSTRAÇÃO (SDI),I,Normais,45,
11104100,1978,1105019,TECNOLOGIA MECÂNICA I,I,Normais,60,
11104100,1978,1112081,TEORIA DA COMUNICACAO,I,Normais,60,
11104100,1978,1105045,TEORIA DA INFORMACAO,I,Normais,30,
11104100,1978,1112082,TEORIA DA INFORMACAO,I,Normais,30,
11104100,1978,1105047,TEORIA DOS MATERIAIS,I,Normais,60,
11104100,1978,1106031,TEORIA DOS MATERIAIS,I,Normais,60,
11104100,1978,1112083,TEORIA E PRÁTICA DA COR (SDI),I,Normais,60,
11104100,1978,1112107,TIPOGRAFIA CRIATIVA (SDI),I,Normais,30,
11104100,1978,1112095,TRAT IMAGEM DIGITALIZADA (SDI),I,Normais,30,
11104100,1978,1304012,VOLEIBOL - MASC/FEM,I,Normais,30,
11104100,1978,1304024,VOLEIBOL - MAS/FEM,I,Normais,30,
11104100,2001,1112179,ANÁLISE ERGÔNOMICA,I,Normais,60,
11104100,2001,1112001,ANÁLISE ERGONÔMICA (SDI),I,Normais,30,
11104100,2001,1112215,ATIVIDADE DE COMPLEMENTAÇÃO ACADÊMICA,I,Normais,60,
11104100,2001,1304027,ATLETISMO - MASC,I,Normais,30,
11104100,2001,1304122,BASQUETE   MASC/FEM,I,Normais,30,
11104100,2001,1304025,BASQUETEBOL - FEM,I,Normais,30,
11104100,2001,1304013,BASQUETEBOL - MASC,I,Normais,30,
11104100,2001,1105064,CARPINTARIA I,I,Normais,30,
11104100,2001,1112002,CARPINTARIA I,I,Normais,30,
11104100,2001,1105065,CARPINTARIA II,I,Normais,30,
11104100,2001,1112003,CARPINTARIA II,I,Normais,30,
11104100,2001,1112004,COMPUTAÇÃO APL. AO DESIGN (SDI),I,Normais,60,
11104100,2001,1112154,COMPUTAÇÃO APLICADA AO DESIGN,I,Normais,60,3
11104100,2001,1112086,COR APL AO DES INDUSTRIAL(SDI),I,Normais,60,
11104100,2001,1112087,COR APL DESING INTERIORES (SDI,I,Normais,60,
11104100,2001,1112180,COR APLICADA AO DESIGN DE INTERIORES,I,Normais,60,
11104100,2001,1112181,COR APLICADA AO DESIGN DE PRODUTO,I,Normais,60,
11104100,2001,1112155,CRIATIVIDADE,I,Normais,60,1
11104100,2001,1112098,CRIATIVIDADE (SDI),I,Normais,60,
11104100,2001,1112006,DES DE OBS E MODELO VIVO (SDI),I,Normais,90,
11104100,2001,1105058,DES PROJETO D. INDUSTRIAL IX,I,Normais,60,
11104100,2001,1105055,DES. PROJETO D. INDUSTRIAL VI,I,Normais,60,
11104100,2001,1105057,DES PROJETO D. INDUSTRIAL VIII,I,Normais,60,
11104100,2001,1105050,DES PROJETO DES INDUSTRIAL I,I,Normais,60,
11104100,2001,1105051,DES PROJETO DES INDUSTRIAL II,I,Normais,60,
11104100,2001,1105052,DES PROJETO DES INDUSTRIAL III,I,Normais,60,
11104100,2001,1105053,DES PROJETO DES INDUSTRIAL IV,I,Normais,60,
11104100,2001,1105054,DES PROJETO DES INDUSTRIAL V,I,Normais,60,
11104100,2001,1105056,DES PROJETO DES INDUSTRIAL VII,I,Normais,60,
11104100,2001,1105075,DESENHO AMBIENTAL,I,Normais,30,
11104100,2001,1105038,DESENHO DE APRESENTAÇÃO,I,Normais,60,
11104100,2001,1112005,DESENHO DE APRESENTAÇÃO,I,Normais,60,
11104100,2001,1105024,DESENHO DE MÁQUINAS,I,Normais,75,
11104100,2001,1105222,DESENHO DE MÁQUINAS,I,Normais,60,
11104100,2001,1112156,DESENHO DE OBSERVAÇÃO,I,Normais,60,1
11104100,2001,1105039,DESENHO GEOMETRICO,I,Normais,60,
11104100,2001,1105324,DESENHO GEOMETRICO,I,Normais,60,1
11104100,2001,1113001,DESENHO GEOMETRICO,I,Normais,60,1
11104100,2001,1112182,DESENHO RAPIDO - CROQUIS,I,Normais,30,
11104100,2001,1112103,DESENHO RAPIDO - CROQUIS  (SDI),I,Normais,30,
11104100,2001,1105037,DESENHO TÉCNICO APL. AO DES. INDUSTRIAL,I,Normais,60,
11104100,2001,1105325,DESENHO TÉCNICO E PERSPECTIVA,I,Normais,60,3
11104100,2001,1113013,DESENHO TÉCNICO E PERSPECTIVA,I,Normais,60,3
11104100,2001,1112007,DESENHO TÉCNICO E PERSPECTIVA (SDI),I,Normais,90,
11104100,2001,1112112,DESENHO TÉCNICO E PERSPECTIVA (SDI),I,Normais,60,
11104100,2001,1112008,DESENV. DE PROJETO DE DI I,I,Normais,60,
11104100,2001,1112009,DESENV. DE PROJETO DE DI II,I,Normais,60,
11104100,2001,1112010,DESENV. DE PROJETO DE DI III,I,Normais,60,
11104100,2001,1112011,DESENV. DE PROJETO DE DI IV,I,Normais,60,
11104100,2001,1112016,DESENV. DE PROJETO DE DI IX,I,Normais,60,
11104100,2001,1112012,DESENV. DE PROJETO DE DI V,I,Normais,60,
11104100,2001,1112013,DESENV. DE PROJETO DE DI VI,I,Normais,60,
11104100,2001,1112014,DESENV. DE PROJETO DE DI VII,I,Normais,60,
11104100,2001,1112015,DESENV. DE PROJETO DE DI VIII,I,Normais,60,
11104100,2001,1112183,DESIGN - DA IDEIA AO MERCADO,I,Normais,30,
11104100,2001,1112167,DESIGN & INOVAÇÃO TECNOLÓGICA,I,Normais,30,
11104100,2001,1112178,DESIGN AMBIENTAL,I,Normais,30,
11104100,2001,1112088,DESIGN DA IDEIA AO MERCADO(SDI,I,Normais,30,
11104100,2001,1112168,DESIGN DE EMBALAGENS,I,Normais,60,
11104100,2001,1112184,DESIGN DE INTERIORES,I,Normais,60,
11104100,2001,1112018,DESIGN DE INTERIORES (SDI),I,Normais,45,
11104100,2001,1112169,DESIGN DE MOBILIARIO,I,Normais,60,
11104100,2001,1112170,DESIGN DE MODA,I,Normais,60,
11104100,2001,1112171,DESIGN PESSOAS NECESSIDADES ESPECIAIS,I,Normais,60,
11104100,2001,1112019,ECOLOGIA APLIC AO DESIGN (SDI),I,Normais,30,
11104100,2001,1112129,ECOLOGIA APLICADA AO DESIGN,I,Normais,30,7
11104100,2001,1303012,ECONOMIA BRASILEIRA,I,Normais,60,
11104100,2001,1304009,EDUCAÇÃO FÍSICA,A,Normais,30,
11104100,2001,1112020,EMBALAGEM (SDI),I,Normais,30,
11104100,2001,1112172,EMPREENDEDORISMO,I,Normais,60,7
11104100,2001,1112089,EMPREENDEDORISMO (SDI),I,Normais,30,
11104100,2001,1112113,EMPREENDEDORISMO (SDI),I,Normais,60,
11104100,2001,1305253,ENADE/CONCLUINTE,I,Normais,0,
11104100,2001,1305254,ENADE/INGRESSANTE,I,Normais,0,
11104100,2001,1112185,ENCADERNAÇÃO,I,Normais,60,
11104100,2001,1112021,ENCADERNAÇÃO (SDI),I,Normais,60,
11104100,2001,1112130,ERGONOMIA & DESIGN,I,Normais,60,4
11104100,2001,1112120,ERGONOMIA & DESIGN (SDI),I,Normais,60,
11104100,2001,1105046,ERGONOMIA E SEG INDUSTRIAL I,I,Normais,60,
11104100,2001,1105082,ERGONOMIA E SEG.INDUSTRIAL II,I,Normais,60,
11104100,2001,1112022,ERGONOMIA (SDI),I,Normais,120,
11104100,2001,1112121,EST  SUP I - DESIGN VERNACULAR (SDI),I,Normais,50,
11104100,2001,1112025,EST. BI. TÉCNICAS E MAT. EXPRES.,I,Normais,90,
11104100,2001,1305039,EST DE PROBL BRASILEIROS I,I,Normais,30,
11104100,2001,1305040,EST DE PROBL BRASILEIROS II,I,Normais,30,
11104100,2001,1112023,EST INTEGR E/OU PROJ ORIENTADO,I,Normais,320,
11104100,2001,1105081,EST INTEGRADO E/OU PROJ ORIENT,I,Normais,320,
11104100,2001,1112123,EST SUP II - DESIGN & TECNOLOGIA (SDI),I,Normais,50,
11104100,2001,1112186,ESTAGIO INTEGRADO,I,Estágio Supervisionado,160,
11104100,2001,1112131,ESTAGIO SUP I - DESIGN VERNACULAR,I,Estágio Supervisionado,50,1
11104100,2001,1112132,ESTAGIO SUP II - DESIGN & TECNOLOGIA,I,Estágio Supervisionado,50,2
11104100,2001,1112133,ESTAGIO SUP III - DESIGN ENTORNO LOCAL,I,Estágio Supervisionado,50,3
11104100,2001,1112134,ESTAGIO SUP IV-FORMA E FUNCAO EM DESIGN,I,Estágio Supervisionado,50,4
